game_num,Site,Date,White,Black,Result,ECO,ECOUrl,UTCDate,UTCTime,WhiteElo,BlackElo,My ELO,Opponent Elo,TimeControl,Termination,StartTime,EndDate,EndTime,Full Opening Name,Main Opening Name,Variation Opening Name,Win-Loss-Draw,Total Moves,White Accuracy,Black Accuracay,Black Total Blunders,Black Total Mistakes,White Total Blundres,White Total Mistakes,Black First Blunder,Black First Mistake,White First Blunder,White First Mistake
124,Chess.com,2025.04.15,mikail1973,FreakWhenSee,0-1,B07,https://www.chess.com/openings/Pirc-Defense-2.d4-Nf6-3.Bd3-g6,2025.04.15,0:12:18,1578,1610,1610,1578,600,FreakWhenSee won by checkmate,0:12:18,2025.04.15,0:20:04,Pirc Defense,Pirc Defense,Main Line,Win,25,78.45,77.72,0,3,2,4,0,11,21,14
125,Chess.com,2025.04.15,aaabbbuuuyyy,FreakWhenSee,1-0,B07,https://www.chess.com/openings/Pirc-Defense-2.Bc4-Nf6,2025.04.15,0:21:29,1578,1601,1601,1578,600,aaabbbuuuyyy won by resignation,0:21:29,2025.04.15,0:37:09,Pirc Defense,Pirc Defense,Main Line,Loss,54,87.97,77.28,1,12,1,10,52,20,53,21
126,Chess.com,2025.04.15,khamidov_farhod1961,FreakWhenSee,0-1,B07,https://www.chess.com/openings/Pirc-Defense...3.Bd3-g6-4.Nf3-Bg7,2025.04.15,0:38:46,1651,1610,1610,1651,600,FreakWhenSee won by resignation,0:38:46,2025.04.15,0:52:03,Pirc Defense,Pirc Defense,Main Line,Win,47,88.6,83.29,1,3,1,4,47,26,47,26
127,Chess.com,2025.04.15,FreakWhenSee,Ramos_chess_22,1-0,B00,https://www.chess.com/openings/Owens-Defense-2.d4-Bb7-3.Nc3,2025.04.15,1:07:07,1619,1639,1619,1639,600,FreakWhenSee won by resignation,1:07:07,2025.04.15,1:12:21,Owen's Defense,Owen's Defense,Main Line,Win,20,84.47,71.68,1,1,0,1,18,5,0,5
128,Chess.com,2025.04.15,stefan6807,FreakWhenSee,1-0,B07,https://www.chess.com/openings/Pirc-Defense-Czech-Defense-4.f4-g6-5.Nf3-Bg7,2025.04.15,2:16:55,1634,1611,1611,1634,600,stefan6807 won by resignation,2:16:55,2025.04.15,2:20:56,Pirc Defense: Czech Defense,Pirc Defense,Czech Defense,Loss,21,75.48,78.68,3,1,1,3,18,11,21,6
129,Chess.com,2025.04.15,FreakWhenSee,simoneeeJD17,1-0,C01,https://www.chess.com/openings/French-Defense-Exchange-Variation-3...exd5-4.Nc3-Nf6,2025.04.15,2:21:48,1619,1586,1619,1586,600,FreakWhenSee won by resignation,2:21:48,2025.04.15,2:36:01,French Defense: Exchange Variation,French Defense,Exchange Variation,Win,24,73.6,74.5,4,6,3,3,19,8,16,14
130,Chess.com,2025.04.16,FreakWhenSee,hilmiramadani,1-0,C25,https://www.chess.com/openings/Vienna-Game-2...d6-3.Bc4-Nf6,2025.04.16,2:07:21,1627,1609,1627,1609,600,FreakWhenSee won by resignation,2:07:21,2025.04.16,2:20:18,Vienna Game,Vienna Game,Main Line,Win,35,86.44,86.92,0,10,0,10,0,7,0,14
131,Chess.com,2025.04.16,kaushalsultania,FreakWhenSee,1-0,E61,https://www.chess.com/openings/Kings-Indian-Defense-Normal-Variation...5.Bg5-d6-6.e3-c6,2025.04.16,2:51:52,1627,1619,1619,1627,600,kaushalsultania won by resignation,2:51:52,2025.04.16,2:53:53,King's Indian Defense: Normal Variation,King's Indian Defense,Normal Variation,Loss,14,56.87,73.09,1,0,0,1,13,0,0,12
132,Chess.com,2025.04.16,BatbilegJ,FreakWhenSee,0-1,B07,https://www.chess.com/openings/Pirc-Defense-Main-Line-4.h3-Bg7,2025.04.16,2:54:46,1652,1628,1628,1652,600,FreakWhenSee won by resignation,2:54:46,2025.04.16,3:03:07,Pirc Defense: Main Line,Pirc Defense,Main Line,Win,34,70.04,75.54,0,1,1,3,0,32,16,14
133,Chess.com,2025.04.17,FreakWhenSee,Gustavo513,1-0,C55,https://www.chess.com/openings/Italian-Game-Two-Knights-Modern-Bishops-Opening...5.O-O-O-O-6.Nc3-d6,2025.04.17,1:50:47,1635,1596,1635,1596,600,FreakWhenSee won by resignation,1:50:47,2025.04.17,1:58:18,"Italian Game: Two Knights, Modern Bishop's Opening",Italian Game,"Two Knights, Modern Bishop's Opening",Win,23,76.7,66.32,1,2,0,2,11,20,0,15
134,Chess.com,2025.04.17,tabulos,FreakWhenSee,1-0,B07,https://www.chess.com/openings/Pirc-Defense-Modern-Defense-Geller-System-2...Nf6-3.Nc3-g6,2025.04.17,19:22:51,1657,1627,1627,1657,600,tabulos won by resignation,19:22:51,2025.04.17,19:33:29,"Pirc Defense: Modern Defense, Geller System",Pirc Defense,"Modern Defense, Geller System",Loss,27,86.74,97.37,2,5,0,3,24,18,0,19
135,Chess.com,2025.04.17,kevinmeridius,FreakWhenSee,0-1,E64,https://www.chess.com/openings/Kings-Indian-Defense-Fianchetto-Yugoslav-Panno-System-6...Nbd7-7.Qc2-e5,2025.04.17,19:34:33,1622,1635,1635,1622,600,FreakWhenSee won by checkmate,19:34:33,2025.04.17,19:42:11,"King's Indian Defense: Fianchetto, Yugoslav, Panno System",King's Indian Defense,"Fianchetto, Yugoslav, Panno System",Win,22,59.61,50.88,0,3,1,4,0,11,21,11
136,Chess.com,2025.04.18,FreakWhenSee,Andreuy,1-0,C20,https://www.chess.com/openings/Bishops-Opening-Boi-Variation-3.Nc3,2025.04.18,1:57:11,1643,1629,1643,1629,600,FreakWhenSee won by resignation,1:57:11,2025.04.18,2:04:30,Bishop's Opening: Boi Variation,Bishop's Opening,Boi Variation,Win,31,75.06,79.49,1,2,0,3,4,6,0,7
137,Chess.com,2025.04.18,FreakWhenSee,a7md3esam,0-1,B10,https://www.chess.com/openings/Caro-Kann-Defense-Two-Knights-Attack...4.Nxe4-Bg4-5.h3-Bxf3,2025.04.18,2:06:33,1637,1744,1637,1744,600,a7md3esam won by checkmate,2:06:33,2025.04.18,2:14:26,Caro-Kann Defense: Two Knights Attack,Caro-Kann Defense,Two Knights Attack,Loss,25,60.43,94.41,0,2,1,3,0,4,25,14
138,Chess.com,2025.04.18,JJazev,FreakWhenSee,0-1,A53,https://www.chess.com/openings/Old-Indian-Defense-3.Nf3-g6,2025.04.18,2:57:36,1644,1645,1645,1644,600,FreakWhenSee won by resignation,2:57:36,2025.04.18,3:04:08,Old Indian Defense,Old Indian Defense,Main Line,Win,17,79.61,92.75,0,0,0,3,0,0,0,10
139,Chess.com,2025.04.18,FreakWhenSee,ch4ff,0-1,B10,https://www.chess.com/openings/Caro-Kann-Defense-Two-Knights-Attack...4.Nxe4-Bf5-5.Ng3-Bg6,2025.04.18,14:46:50,1637,1643,1637,1643,600,ch4ff won by resignation,14:46:50,2025.04.18,14:49:53,Caro-Kann Defense: Two Knights Attack,Caro-Kann Defense,Two Knights Attack,Loss,10,85.02,78.66,0,0,1,1,0,0,9,6
140,Chess.com,2025.04.18,FreakWhenSee,CahyoM3,1-0,C25,https://www.chess.com/openings/Vienna-Game-2...d6-3.Bc4,2025.04.18,14:50:28,1645,1622,1645,1622,600,FreakWhenSee won by resignation,14:50:28,2025.04.18,14:56:01,Vienna Game,Vienna Game,Main Line,Win,26,77.34,86.8,1,3,1,2,12,17,12,18
141,Chess.com,2025.04.18,aldrinity,FreakWhenSee,1-0,E91,https://www.chess.com/openings/Kings-Indian-Defense-Orthodox-Variation-6...c5-7.O-O-Bg4-8.d5,2025.04.18,15:01:40,1676,1638,1638,1676,600,aldrinity won by checkmate,15:01:40,2025.04.18,15:13:31,King's Indian Defense: Orthodox Variation,King's Indian Defense,Orthodox Variation,Loss,31,60.16,56.08,2,0,0,2,19,0,0,17
142,Chess.com,2025.04.18,Facusin,FreakWhenSee,0-1,B07,https://www.chess.com/openings/Pirc-Defense-2.Bc4-Nf6,2025.04.18,15:15:23,1641,1646,1646,1641,600,FreakWhenSee won - game abandoned,15:15:23,2025.04.18,15:30:06,Pirc Defense,Pirc Defense,Main Line,Win,35,76.06,78.17,0,5,1,4,0,10,9,11
143,Chess.com,2025.04.21,FreakWhenSee,ajh2844,0-1,B10,https://www.chess.com/openings/Caro-Kann-Defense-Two-Knights-Attack...4.Nxe4-Bf5-5.Ng3-Bg6-6.h4,2025.04.21,1:19:55,1636,1573,1636,1573,600,ajh2844 won by resignation,1:19:55,2025.04.21,1:27:06,Caro-Kann Defense: Two Knights Attack,Caro-Kann Defense,Two Knights Attack,Loss,21,84.31,78.15,0,5,2,5,0,7,20,12
144,Chess.com,2025.04.21,XxsimplysuperiorxX,FreakWhenSee,0-1,B07,https://www.chess.com/openings/Pirc-Defense-Main-Line...5.Qd2-c6-6.Bh6-Bxh6-7.Qxh6,2025.04.21,1:28:29,1631,1644,1644,1631,600,FreakWhenSee won by checkmate,1:28:29,2025.04.21,1:37:11,Pirc Defense: Main Line,Pirc Defense,Main Line,Win,36,85,80.14,3,5,5,6,15,10,15,17
145,Chess.com,2025.04.21,FreakWhenSee,sparapuram,1-0,B01,https://www.chess.com/openings/Scandinavian-Defense-Mieses-Kotrc-Variation-3.Nc3-Qd8-4.Nf3,2025.04.21,1:38:17,1652,1633,1652,1633,600,FreakWhenSee won by checkmate,1:38:17,2025.04.21,1:51:28,Scandinavian Defense: Mieses-Kotrč Variation,Scandinavian Defense,Mieses-Kotrč Variation,Win,66,91.25,81.83,3,3,1,3,24,13,60,16
146,Chess.com,2025.04.22,FreakWhenSee,Yntilaciencia,1-0,B01,https://www.chess.com/openings/Scandinavian-Defense-Mieses-Kotrc-Variation-3.Nc3-Qd8-4.Nf3,2025.04.22,1:59:37,1660,1660,1660,1660,600,FreakWhenSee won by checkmate,1:59:37,2025.04.22,2:15:36,Scandinavian Defense: Mieses-Kotrč Variation,Scandinavian Defense,Mieses-Kotrč Variation,Win,42,90.47,70.26,4,2,2,3,17,12,18,23
147,Chess.com,2025.04.23,BossBC-Lenny,FreakWhenSee,1-0,B07,https://www.chess.com/openings/Pirc-Defense-Modern-Defense-Geller-System-2...Nf6,2025.04.23,2:39:22,1676,1652,1652,1676,600,BossBC-Lenny won by resignation,2:39:22,2025.04.23,2:49:22,"Pirc Defense: Modern Defense, Geller System",Pirc Defense,"Modern Defense, Geller System",Loss,48,93.13,73.29,3,12,2,7,27,9,22,9
148,Chess.com,2025.04.23,FreakWhenSee,ticxxa09,1-0,C00,https://www.chess.com/openings/French-Defense-Normal-Variation,2025.04.23,2:50:54,1660,1653,1660,1653,600,FreakWhenSee won by resignation,2:50:54,2025.04.23,2:59:20,French Defense: Normal Variation,French Defense,Normal Variation,Win,27,72.28,64.73,3,2,1,2,18,14,24,13
